"id","name","date_of_birth"
301,"Steven Smith","1989-06-02"
302,"David Warner","1986-10-27"
303,"Aaron Finch","1986-11-17"
304,"Travis Head","1993-12-29"
305,"Moises Henriques","1987-02-01"
306,"Glenn Maxwell","1988-10-14"
307,"Marcus Stoinis","1989-08-16"
308,"John Hastings","1985-11-04"
309,"Matthew Wade","1987-12-26"
310,"Pat Cummins","1993-05-08"
311,"Josh Hazlewood","1991-01-08"
312,"James Pattinson","1990-05-03"
313,"Mitchell Starc","1990-01-30"
314,"Adam Zampa","1992-03-31"
315,"Chris Lynn","1990-04-10"
