"id","name","date_of_birth"
501,"Virat Kohli","1988-11-05"
502,"Rohit Sharma","1987-04-30"
503,"Shikhar Dhawan","1985-12-05"
504,"Ajinkya Rahane","1988-06-06"
505,"Yuvraj Singh","1981-12-12"
506,"Kedar Jadhav","1985-03-26"
507,"Hardik Pandya","1993-10-11"
508,"Ravichandran Ashwin","1986-09-17"
509,"Ravindra Jadeja","1988-12-06"
510,"Dinesh Karthik","1985-06-01"
511,"MS Dhoni","1981-07-07"
512,"Bhuvneshwar Kumar","1990-02-05"
513,"Jasprit Bumrah","1993-12-06"
514,"Umesh Yadav","1987-10-25"
515,"Mohammed Shami","1990-09-03"
