"id","name","date_of_birth"
601,"Ahmed Shehzad","1991-11-23"
602,"Azhar Ali","1985-02-19"
603,"Babar Azam","1994-10-15"
604,"Fakhar Zaman","1990-04-10"
605,"Mohammad Hafeez","1980-10-17"
606,"Shoaib Malik","1982-02-01"
607,"Faheem Ashraf","1994-01-16"
608,"Imad Wasim","1988-12-18"
609,"Shadab Khan","1998-10-04"
610,"Sarfaraz Ahmed","1987-05-22"
611,"Hasan Ali","1994-07-02"
612,"Junaid Khan","1989-12-24"
613,"Mohammad Amir","1992-04-13"
614,"Wahab Riaz","1985-06-28"
615,"Rumman Raees","1991-10-18"
