"id","name","date_of_birth"
701,"Hashim Amla","1983-03-31"
702,"Faf du Plessis","1984-07-13"
703,"David Miller","1989-06-10"
704,"Jean-Paul Duminy","1984-04-14"
705,"Farhaan Behardien","1983-10-09"
706,"Chris Morris","1987-04-30"
707,"Wayne Parnell","1989-07-30"
708,"Andile Phehlukwayo","1996-03-03"
709,"Dwaine Pretorius","1989-03-29"
710,"Quinton de Kock","1992-12-17"
711,"AB de Villiers","1984-02-17"
712,"Kagiso Rabada","1995-05-25"
713,"Imran Tahir","1979-03-27"
714,"Keshav Maharaj","1990-02-07"
715,"Morne Morkel","1984-10-06"
