"id","name","date_of_birth"
801,"Upul Tharanga","1985-02-02"
802,"Kusal Mendis","1995-02-02"
803,"Chamara Kapugedera","1987-02-24"
804,"Angelo Mathews","1987-06-02"
805,"Asela Gunaratne","1986-01-08"
806,"Danushka Gunathilaka","1991-03-17"
807,"Dhananjaya de Silva","1991-09-06"
808,"Thisara Perera","1989-04-03"
809,"Niroshan Dickwella","1993-06-23"
810,"Kusal Perera","1990-08-17"
811,"Dinesh Chandimal","1989-11-18"
812,"Lasith Malinga","1983-08-28"
813,"Suranga Lakmal","1987-03-10"
814,"Nuwan Pradeep","1986-10-19"
815,"Seekkuge Prasanna","1985-06-27"
